HEADER-DHCPOPTION,STATUS,OBJECTTYPE,OBJECT,OPTIONSPACE,OPTIONCODE,OPTIONVALUE
HEADER-DHCPNetreeWORK,STATUS,OBJECT
DHCPNetreeWORK,INCOMPATIBLE,10.16.46.20/32
DHCPNetreeWORK,INCOMPATIBLE,/32
DHCPNetreeWORK,INCOMPATIBLE,10.200.34.3/32
DHCPNetreeWORK,INCOMPATIBLE,172.16.1.150/32
DHCPNetreeWORK,INCOMPATIBLE,172.16.33.54/32
DHCPNetreeWORK,INCOMPATIBLE,192.16.144.226/32
DHCPNetreeWORK,INCOMPATIBLE,192.168.103.5/32
DHCPNetreeWORK,INCOMPATIBLE,192.168.103.198/32
DHCPNetreeWORK,INCOMPATIBLE,192.168.103.226/32
DHCPNetreeWORK,INCOMPATIBLE,10.250.1.1/32
